scan_record_id,raw_scan_id,count_control_mode,acquisition_state_id,lattice_state_id,UB_state_id,scan_variable_raw,pre_detector_status,split_role,discovery_runtime_status,pre_detector_reasons,source_point_count,usable_geometry_points,energy_order,admissible_windows,discovery_qc_reasons
SCAN-02R-5b80daccf8c23dd0,104119,time_controlled,ACQSTATE-02R-6c0bdd080b2c5a8d,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,qk,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-5e02dde1da14be55,104100,monitor_controlled,ACQSTATE-02R-76ff5c324efb0d8a,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,en,eligible_for_split,holdout,not_evaluated,,25,25,decreasing_reversed_with_provenance,64,
SCAN-02R-5e52d7e5fbefbc05,104170,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,20,20,increasing,44,
SCAN-02R-5e9a406134424e15,104072,time_controlled,ACQSTATE-02R-53df6374615f09d5,LAT-02R-ae4c74e47a033f66,UB-02R-397acad65dd9e384,sgl,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-5ef2c24fed347fd7,104190,monitor_controlled,ACQSTATE-02R-72bc31d155544226,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,21,0,not_evaluated,0,
SCAN-02R-5f553db9674e6d45,104176,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,holdout,not_evaluated,,46,46,increasing,148,
SCAN-02R-616075842b1e4c6e,104159,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,diagnostic_only_insufficient_geometry,not_applicable,not_evaluated,,5,5,insufficient,0,
SCAN-02R-643ff7e40bd97888,104198,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,diagnostic_only_insufficient_geometry,not_applicable,not_evaluated,,5,5,insufficient,0,
SCAN-02R-652afedf8df9a217,104102,time_controlled,ACQSTATE-02R-76dbf689e6cbf1b2,LAT-02R-ae4c74e47a033f66,UB-02R-1d710a6baa059bbb,s1,not_primary_energy_discovery,not_applicable,not_evaluated,,201,0,not_evaluated,0,
SCAN-02R-68a1fdbd8955d9a4,104208,monitor_controlled,ACQSTATE-02R-896f06c2a7c231ec,LAT-02R-517a9644e4f59287,UB-02R-c7cdba07fed2dfd7,en,eligible_for_split,discovery,discovery_usable,,51,51,increasing,168,
