file_record_id,scan_record_id,relationship_role,mapping_status,mapping_evidence
FILE-02R-d79d25b742a78b2f,SCAN-02R-616075842b1e4c6e,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d845fea91633e63c,SCAN-02R-facac32c4f9e5032,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d916c8d3b071c3ae,SCAN-02R-b654b4eb1ebe23d6,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d930d58d82cc4510,SCAN-02R-1d86949e1fdc12c8,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-d967318e4569c881,SCAN-02R-f380a5a0600b447a,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-da1d0700d24ca297,SCAN-02R-eb6fd74d04998612,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-dab3078e810d2874,SCAN-02R-73adc0625f7869df,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-db3216aa4bbb640f,SCAN-02R-1e5b02c69224108d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-dc3481f974957a00,SCAN-02R-379ac295ed92a194,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-dd4dd855dd7e599d,SCAN-02R-cfcdc3a373b26fb0,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-dd821b445967b77e,SCAN-02R-75faa4a614a8f130,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e01fe2a67d288032,SCAN-02R-59701ee4cf5ede45,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e3217e8bc718c0e2,SCAN-02R-774f62fc1777bc6b,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e3e3f990249fa8c7,SCAN-02R-a88a59b9d2315a05,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e45fe04d518b6e17,SCAN-02R-b704f6a14f738619,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e779a19e4e2249cb,SCAN-02R-c7a73b4824a01210,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e84e50e653a6e631,SCAN-02R-b14e49e20117cb08,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-e91eb964799b0944,SCAN-02R-072b13029deb0fba,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-eaa93bc86930ed0f,SCAN-02R-5b1259784f010264,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-ed51193e6b95f684,SCAN-02R-708cf4d83a29d78f,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f05dcc227ab4790a,SCAN-02R-d2b7e9ee069bd20e,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f2dd29556c77c25b,SCAN-02R-42c582e4eb747d10,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f49217c971d919b9,SCAN-02R-5ef2c24fed347fd7,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f63ef951a1143848,SCAN-02R-2af7f44831b57311,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f68cbbca810eefa6,SCAN-02R-f87c8c3cd06321c2,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f76a47fba5e4763c,SCAN-02R-f7776e64b8dc4ae4,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f8a15a6658da3a6a,SCAN-02R-c74434b3ed5fc9b8,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f8fbd7ad64cebea7,SCAN-02R-4f9204b624c2d482,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f937bff285ebc9d0,SCAN-02R-fede66c26a275769,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-f9ba9fd60372aa35,SCAN-02R-0e6d00a831c04e8d,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-fb9b9920221845cd,SCAN-02R-c949f2ba4994924e,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
FILE-02R-fbeb377499311989,SCAN-02R-e99f0bd2152d59b1,primary,verified_1_to_1,one_header_scan_identifier_one_numeric_block
