area_uncertainty,area_uncertainty_status,centroid_uncertainty,complex_id,component_id,observed_width_uncertainty,observed_width_uncertainty_status,reason,scan_id,uncertainty_method,uncertainty_status
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8ca6316615b8cbae,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8dcd5041a8a4e044,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-8e62e3b1b9deee81,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-91de8f7a5ce6984b,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-91f840c137c7a43c,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-957a8834d758202b,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-abcd8030795bc9cb,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-ae86f327e3ed5623,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-c5843105fb81b54c,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
,not_estimated_explicit_no_frozen_method,"{""lower"": 17.569436904761904, ""upper"": 20.426913095238092}",CX-02,C01,,not_estimated_explicit_no_frozen_method,profile_has_no_finite_in_domain_crossing,SCAN-02R-ebc55d8b20e3cec0,selective_likelihood_profile_for_centroid,estimated_no_finite_in_domain_crossing
